ID X Y Area
1 95186.7676 86953.05004 0.023
2 95186.4778 86953.05115 0.012
3 95186.88915 86951.50632 0.029
4 95187.97241 86950.63788 0.034
5 95188.76717 86950.2617 0.041
6 95188.89675 86950.0019 0.03
7 95189.19103 86950.10279 0.016
8 95188.40677 86949.38004 0.037
9 95192.72738 86947.8193 0.09
10 95192.38812 86947.2449 0.186
11 95193.34828 86946.67051 0.045
12 95192.92646 86945.90824 0.112
13 95193.64197 86944.44836 0.04
14 95193.65851 86945.14707 0.06
15 95194.22146 86946.03526 0.028
16 95194.59929 86944.37737 0.043
17 95195.75779 86944.11805 0.034
18 95195.48112 86946.18069 0.044
19 95195.01698 86946.93033 0.05
20 95195.95342 86946.18187 0.021
21 95196.67234 86945.91836 0.037
22 95197.38236 86942.79914 0.133
23 95197.77642 86941.20044 0.086
24 95199.27805 86942.50998 0.047
25 95198.80207 86943.45447 0.121
26 95206.49352 86935.03204 0.012
27 95206.67274 86934.44022 0.009
28 95206.80049 86934.31849 0.011
29 95206.34515 86934.07965 0.009
30 95206.18563 86933.90516 0.014
31 95206.33064 86933.73934 0.018
32 95208.3123 86934.84763 0.003
33 95209.84535 86931.6932 0.005
34 95209.6257 86930.20658 0.032
35 95210.79523 86930.94237 0.055
36 95212.02061 86932.40692 0.039
37 95211.48966 86931.64186 0.03
38 95211.89408 86931.05864 0.014
39 95212.14218 86930.84336 0.008
40 95212.08354 86931.66741 0.038
41 95211.91743 86931.77481 0.007
42 95215.27986 86930.22319 0.009
43 95215.06373 86930.58806 0.009
44 95214.88401 86930.6341 0.011
45 95214.17284 86930.65551 0.011
46 95213.97074 86931.1034 0.018
47 95213.80642 86931.13884 0.014
48 95213.90877 86930.74312 0.005
49 95213.80137 86930.59024 0.008
50 95214.47543 86928.40172 0.023
51 95213.80492 86927.58542 0.037
52 95213.22074 86927.32275 0.013
53 95213.45295 86928.17344 0.026
54 95212.81204 86927.82144 0.086
55 95212.49733 86928.44894 0.044
56 95212.26972 86929.12288 0.034
57 95211.81851 86928.37955 0.011
58 95217.08898 86928.45118 0.009
59 95216.91442 86926.97108 0.008
60 95217.5276 86926.65461 0.013
61 95217.89757 86926.36875 0.009
62 95218.20392 86925.93762 0.021
63 95218.57714 86924.69762 0.014
64 95220.87222 86925.79616 0.018
65 95220.67969 86925.87709 0.012
66 95220.02045 86925.06903 0.017
67 95220.47932 86926.01741 0.008
68 95220.27893 86926.18417 0.009
69 95220.24358 86925.88763 0.008
70 95219.96788 86925.87921 0.017
71 95219.93525 86926.05172 0.003
72 95220.96132 86925.45332 0.005
73 95220.99193 86925.06665 0.004
74 95220.60085 86924.1918 0.003
75 95220.09224 86924.35076 0.069
76 95220.64617 86923.84134 0.061
77 95220.6357 86923.6144 0.015
78 95220.18766 86923.63707 0.021
79 95221.00335 86923.56392 0.005
80 95220.12264 86922.99522 0.004
81 95219.62263 86923.25715 0.017
82 95219.63513 86922.72699 0.023
83 95218.8132 86922.75028 0.01
84 95219.2908 86922.28675 0.032
85 95219.51652 86921.84343 0.014
86 95220.09332 86921.47795 0.036
87 95220.548 86921.57969 0.012
88 95220.29709 86922.08802 0.009
89 95220.72856 86921.89194 0.006
90 95220.76701 86921.44589 0.017
91 95221.31524 86921.65478 0.043
92 95221.50184 86921.37616 0.052
93 95222.3862 86921.35378 0.014
94 95222.00942 86921.4515 0.004
95 95221.32208 86922.44636 0.021
96 95221.04528 86923.42111 0.019
97 95221.94746 86922.04926 0.017
98 95222.6292 86921.64049 0.005
99 95222.61093 86921.73498 0.003
100 95222.8075 86922.08235 0.014
101 95222.1484 86922.34894 0.017
102 95222.3502 86922.66554 0.014
103 95222.58013 86923.04241 0.026
104 95222.52614 86923.39567 0.021
105 95221.95834 86923.26914 0.029
106 95221.48268 86923.42271 0.028
107 95221.78295 86923.63533 0.004
108 95221.97555 86923.44862 0.008
109 95222.28456 86923.56588 0.074
110 95222.84529 86923.90092 0.036
111 95222.63441 86924.18212 0.004
112 95222.26919 86924.49486 0.019
113 95222.06862 86924.29618 0.012
114 95221.7645 86923.99426 0.007
115 95215.88025 86927.02393 0.017
116 95214.91595 86926.8275 0.016
117 95219.49934 86925.04772 0.012
118 95218.48445 86924.00306 0.01
119 95214.3594 86926.36321 0.016
120 95215.72043 86929.77493 0.01
121 95216.24231 86928.76867 0.006
122 95216.34543 86928.38742 0.011
123 95216.42044 86927.87491 0.016
124 95217.00169 86927.45928 0.007
125 95186.04367 86952.35611 0.014
