ID Area Nicho Escalon Sin_construcciones Circular Oval Infantil Adulto Adulto_m Superposicion Ollas Jarras Venado Animales_foraneos Laja Monton_de_piedras Sin_cercamica Sin_fauna
1 0.783 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 1 1
2 1.384 0 1 0 0 1 0 1 0 1 0 1 1 0 0 0 1 1
3 0.916 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 1
4 2.48 0 1 0 0 1 0 1 0 1 0 0 1 0 0 0 1 1
6 3.024 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1
7 0.889 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 1 1
9 0.554 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 1 1
10 0.547 0 0 1 0 1 0 1 0 1 0 0 0 0 0 1 1 1
11 1.166 0 0 1 0 1 0 0 1 1 2 0 0 0 0 1 0 1
12 0.905 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 1 1
13 0.708 0 0 1 0 1 1 0 0 1 0 0 0 1 0 0 1 1
14 0.213 0 0 1 0 1 1 0 0 0 0 0 0 1 1 0 1 1
15 0.327 0 0 1 0 1 1 0 0 1 1 0 2 0 0 1 1 0
16 0.712 0 0 1 0 1 1 0 0 1 0 2 0 0 1 0 0 1
17 2.296 0 1 0 0 1 0 1 0 1 0 2 0 0 0 0 0 1
18 1.191 0 0 1 0 1 0 1 0 1 1 1 0 0 1 0 0 1
19 0.96 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 1 1
20 0.816 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1
21 1.881 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 1
22 1.865 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 1
23 1.618 0 1 0 0 1 0 1 0 1 0 0 0 0 0 1 1 1
24 1.058 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 1 1
25 0.737 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1
26 0.448 0 0 1 1 0 0 1 0 0 1 1 0 0 1 0 0 1
27 1.772 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 1
28 0.094 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 1 1
29 0.278 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 1 1
30 0.696 0 0 1 0 1 1 0 0 1 0 0 0 4 0 0 1 0
31 0.816 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 1 1
32 0.413 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 1
73 0.619 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 1
100 1.435 0 0 1 0 1 0 0 1 0 1 1 0 0 0 1 0 1
104 0.669 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 1
109 0.826 0 1 0 0 1 0 0 1 1 0 0 10 0 0 1 1 0
112 2.49 0 0 1 0 1 0 1 0 0 0 0 2 0 0 0 1 0
113 1.483 0 1 0 0 1 0 1 0 1 0 2 3 0 0 1 0 0
115 1.133 0 0 1 0 1 0 0 1 1 0 0 0 0 0 1 1 1
117 2.042 0 0 1 0 1 0 1 0 0 0 3 0 0 0 1 0 1
119 1.826 0 1 0 0 1 0 1 0 0 0 1 0 0 0 1 1 1
124 0.862 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1
125 0.858 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1
126 0.32 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 1
130 1.552 0 0 1 0 1 0 0 0 1 1 1 0 0 0 0 0 1
136 1.181 0 0 1 0 1 0 1 0 0 1 1 0 0 0 0 0 1
137 1.419 0 1 0 0 1 0 1 0 1 0 0 1 0 0 1 1 1
139 0.599 0 0 0 0 1 0 0 1 0 0 0 0 22 1 1 1 0
144 0.772 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 1 1
145 1.474 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1
978 0.85 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 1
981 0.354 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 1 1
984 0.353 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 1
987 0.821 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 1
988 0.703 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1
989 1.105 0 0 1 0 1 0 1 0 0 0 1 3 0 0 1 0 0
990 0.164 0 0 1 0 1 0 1 0 0 0 0 5 0 0 0 1 0
991 0.83 0 0 1 0 1 1 0 0 0 0 0 2 0 0 0 1 0
993 0.298 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 1
995 1.844 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1
997 1.184 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 1
998 0.891 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 1
999 1.714 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 1
