ID X Y Area Profundidad Volumen Construcciones Forma Orienta Superposicion Sexo Edad_grup Edad_err Edad Grupo_super Grupo10 Grupo20 Grupo30 Grupo40 Grupo50 Ollas Jarras Copas Mocasines ceramicas Venado Cuy Cricetidae Boa Laja Monton_de_piedras Piedras_adentro Marcas Volante Propulsor Gallinula Saino Conchas Felidae humanos
1 95193.64941 86950.32496 0.783 NA NA Ninguna Circular N No M Adulto 2.5 42.5 0 NA NA NA NA 2 0 1 0 0 1 0 0 0 0 0 0 0 Ninguna 0 0 0 0 0 0 0
2 95193.7852 86947.93055 1.384 0.4 0.5536 Escalón Oval SO Si F Adulto 1.5 18.5 3 NA NA NA NA 3 0 1 0 0 1 1 0 0 0 0 0 0 Ninguna 0 0 0 0 0 0 0
3 95191.65847 86946.04095 0.916 0.3 0.2748 Ninguna Circular NE No I Adulto NA NA 0 NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 Ninguna 0 0 0 0 0 0 0
4 95195.06809 86947.61425 2.48 0.4 0.992 Escalón Oval S Si M Adulto 2.5 32.5 3 NA NA NA NA 3 0 0 0 0 0 1 0 0 0 0 0 0 Ninguna 0 1 0 0 0 0 0
6 95197.11936 86947.17011 3.024 0.4 1.2096 Escalón Oval NE No F Adulto_m 2.5 52.5 0 NA NA NA NA 3 0 0 0 0 0 0 0 0 0 0 0 0 Ninguna 0 0 0 0 0 0 0
7 95195.04705 86945.02649 0.889 0.3 0.2667 Ninguna Oval SO No F Infantil 10 1 0 NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 Ninguna 0 0 0 0 1 0 0
9 95199.12685 86945.40519 0.554 0.2 0.1108 Ninguna Oval SO No I Infantil 0.5 2.5 0 NA NA NA NA 4 0 0 0 0 0 0 0 0 0 0 1 0 Monton_de_rocas 0 0 0 0 0 0 0
10 95200.01682 86945.42941 0.547 0.55 0.30085 Ninguna Oval SO Si F Adulto 2.5 42.5 5 NA NA NA NA 4 0 0 0 0 0 0 0 0 0 0 1 0 Monton_de_rocas 0 0 0 0 0 0 0
11 95200.57885 86945.29006 1.166 0.6 0.6996 Ninguna Oval SO Si F Adulto_m 5 55 5 NA NA NA NA 4 2 0 0 1 3 0 0 0 0 0 1 1 Monton_de_rocas 0 0 0 0 0 0 0
12 95199.30198 86943.78718 0.905 0.55 0.49775 Ninguna Oval SO Si M Adulto 2.5 42.5 5 NA NA NA NA 4 0 0 0 0 0 0 0 0 0 0 0 0 Ninguna 0 0 0 0 0 0 0
13 95198.51573 86943.89686 0.708 0.3 0.2124 Ninguna Oval S Si M Infantil 0.5 6.5 5 NA NA NA NA 4 0 0 0 0 0 0 0 0 0 0 0 1 Ninguna 0 0 0 0 1 0 0
14 95197.87707 86943.1365 0.213 0.3 0.0639 Ninguna Oval S No F Infantil 0.5 3.5 0 NA NA NA NA 4 0 0 0 0 0 0 0 0 0 1 1 0 Laja 0 0 0 0 1 0 0
15 95197.9481 86942.12987 0.327 0.4 0.1308 Ninguna Oval S Si I Infantil 0.08 0.88 4 NA NA NA NA 4 1 0 0 0 1 2 0 0 0 0 0 1 Ninguna 1 0 0 0 0 0 0
16 95197.29701 86941.61722 0.712 0.7 0.4984 Ninguna Oval SE Si I Infantil 0.5 4.5 4 NA NA NA NA 4 0 2 0 0 2 0 0 0 0 1 0 0 Laja 0 0 0 0 0 0 0
17 95200.11546 86944.05404 2.296 0.9 2.0664 Escalón Oval SO Si M Adulto 2.5 42.5 5 NA NA NA NA 4 0 2 0 0 2 0 0 0 0 0 0 0 Ninguna 0 0 0 0 0 0 0
18 95200.8018 86943.55174 1.191 0.45 0.53595 Ninguna Oval SO Si F Adulto 1 16 5 NA NA NA NA 4 1 1 1 0 3 0 0 0 0 1 0 0 Laja 1 0 0 0 0 0 0
19 95202.20893 86943.92284 0.96 0.4 0.384 Ninguna Oval N No F Adulto 2.5 37.5 0 NA NA NA NA 4 0 0 0 0 0 0 0 0 0 1 0 0 Laja 0 0 0 0 0 0 0
20 95203.66011 86944.52379 0.816 NA NA Asán Circular S No M Adulto 2.5 42.5 0 NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 1 Asan 0 0 0 0 0 0 0
21 95194.05586 86951.56644 1.881 NA NA Ninguna Oval SE No F Adulto 2.5 37.5 0 NA NA NA NA 2 0 0 0 0 0 0 0 0 0 0 0 0 Ninguna 0 0 0 0 0 0 0
22 95192.21759 86951.53173 1.865 NA NA Ninguna Oval SE No F Adulto 1.5 16.5 0 NA NA NA NA 2 0 0 0 1 1 0 0 0 0 0 0 0 Ninguna 0 0 0 0 0 0 0
23 95189.35046 86951.36646 1.618 0.6 0.9708 Escalón Oval NE Si F Adulto 2.5 42.5 2 NA NA NA NA 1 0 0 0 0 0 0 0 0 0 0 1 0 Monton_de_rocas 0 0 0 0 0 0 0
24 95190.39574 86951.68726 1.058 0.55 0.5819 Ninguna Oval N Si I Adulto NA NA 2 NA NA NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 Ninguna 0 0 0 0 0 0 0
25 95189.85546 86953.43326 0.737 0.7 0.5159 Ninguna Oval SE No I Indeterminado NA NA 0 NA NA NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 Ninguna 0 0 0 0 0 0 0
26 95188.30757 86953.70627 0.448 NA NA Ninguna Circular SE No I Adulto 2.5 37.5 0 NA NA NA NA 1 1 1 0 0 2 0 0 0 0 1 0 0 Laja 0 0 0 0 0 0 0
27 95211.00918 86934.14218 1.772 0.6 1.0632 Ninguna Oval SE No F Adulto 2.5 42.5 0 NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 Ninguna 0 0 0 0 0 0 0
28 95218.15202 86928.95038 0.094 0.3 0.0282 Ninguna Oval SO Si I Infantil 0.5 2.5 7 NA NA NA NA 8 0 0 0 0 0 0 0 0 0 0 0 0 Ninguna 0 0 0 0 0 0 0
29 95218.16578 86929.0967 0.278 0.3 0.0834 Ninguna Oval SO Si I Infantil 0.5 4.5 7 NA NA NA NA 8 0 0 0 0 0 0 0 0 0 0 0 0 Ninguna 0 0 0 0 0 0 0
30 95218.40982 86929.00806 0.696 0.3 0.2088 Ninguna Oval SO Si I Infantil 0.5 6.5 7 NA NA NA NA 8 0 0 0 0 0 0 0 0 0 0 0 0 Ninguna 0 1 0 2 1 1 0
31 95219.29403 86927.91967 0.816 0.2 0.1632 Ninguna Oval SO No M Adulto NA NA 0 NA NA NA NA 9 0 0 0 0 0 0 0 0 0 1 0 0 Laja 0 0 0 0 0 0 0
32 95220.49149 86927.32831 0.413 0.2 0.0826 Ninguna Oval SO No F Adulto_m 2.5 52.5 0 NA NA NA NA 9 0 0 0 0 0 0 0 0 0 0 0 0 Ninguna 0 0 0 0 0 0 0
73 95211.06115 86929.27494 0.619 0.35 0.21665 Ninguna Oval S No I Adulto NA NA 0 NA NA NA NA 7 0 0 0 0 0 0 0 0 0 0 0 0 Ninguna 0 0 0 0 0 0 0
100 95187.40556 86950.14121 1.435 0.6 0.861 Ninguna Oval NE No F Adulto_m 2.5 52.5 0 NA NA NA NA 1 1 1 0 0 2 0 0 0 0 0 1 0 Monton_de_rocas 0 0 0 0 0 0 0
104 95185.83896 86951.20295 0.669 0.7 0.4683 Nicho Circular NE Si I Adulto_m 5 55 1 NA NA NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 Ninguna 0 0 0 0 0 0 0
109 95209.4499 86930.6826 0.826 0.4 0.3304 Escalón Oval SO Si F Adulto_m 5 50 6 NA NA NA NA 6 0 0 0 0 0 10 0 0 0 0 1 0 Monton_de_rocas 0 0 0 0 0 0 0
112 95207.9678 86936.41942 2.49 NA NA Ninguna Oval SE No F Adulto NA NA 0 NA NA NA NA 5 0 0 0 0 0 2 0 0 0 0 0 0 Ninguna 0 0 0 0 0 0 0
113 95209.93661 86931.42026 1.483 0.45 0.66735 Escalón Oval SE Si F Adulto NA NA 6 NA NA NA NA 6 0 2 0 0 2 3 1 0 0 0 1 1 Monton_de_rocas 0 0 0 0 0 0 0
115 95188.76276 86952.13861 1.133 0.4 0.4532 Ninguna Oval SO Si F Adulto_m 5 50 2 NA NA NA NA 1 0 0 0 0 0 0 0 0 0 0 0 1 Ninguna 0 0 0 0 0 0 0
117 95202.59564 86939.80671 2.042 0.5 1.021 Ninguna Oval SO No I Adulto NA NA 0 NA NA NA NA 0 0 3 0 0 0 0 0 0 0 0 1 0 Monton_de_rocas 0 0 0 0 0 0 0
119 95187.30873 86951.76834 1.826 0.5 0.913 Escalón Oval SE No F Adulto NA NA 0 NA NA NA NA 1 0 1 0 0 1 0 0 0 0 0 0 0 Ninguna 0 0 0 0 0 0 0
124 95208.79983 86932.6942 0.862 0.6 0.5172 Nicho Circular S No I Indeterminado NA NA 0 NA NA NA NA 6 0 0 0 0 0 0 0 0 0 0 1 0 Cerámica 0 0 0 0 0 0 0
125 95219.38063 86922.51496 0.858 0.6 0.5148 Nicho Circular NE No I Infantil NA NA 0 NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 Ninguna 0 0 0 0 0 0 0
126 95221.27388 86924.24091 0.32 0.2 0.064 Ninguna Circular NE No I Infantil NA NA 0 NA NA NA NA 10 0 0 0 0 0 0 0 0 0 0 0 0 Ninguna 0 0 0 0 0 0 0
130 95185.20581 86950.9241 1.552 0.45 0.6984 Ninguna Oval SE Si I Indeterminado NA NA 1 NA NA NA NA 1 1 1 0 0 2 0 0 0 0 0 0 0 Ninguna 0 0 2 0 0 0 0
136 95189.35318 86950.17022 1.181 0.5 0.5905 Ninguna Oval NE No F Adulto NA NA 0 NA NA NA NA 1 1 1 0 0 2 0 0 0 0 0 0 0 Ninguna 0 0 0 0 0 0 0
137 95188.84222 86952.28019 1.419 0.65 0.92235 Escalón Oval SO Si I Adulto NA NA 2 NA NA NA NA 1 0 0 0 0 0 1 0 0 0 0 1 0 Monton_de_rocas 0 0 0 0 0 0 0
