Distancia Tumbas Grupos Proporcion_Tumb Aumento_Tumb Aumento_Grup Tumb_por_Grup Aumento_Tumb_por_Grup
0 29 13 0.2871 0.0000 0.0000 2.2308 0.0000
10 36 16 0.3564 0.2414 0.2308 2.2500 0.2308
20 41 16 0.4059 0.1389 0.0000 2.5625 0.0000
30 46 16 0.4554 0.1220 0.0000 2.8750 0.0000
40 48 16 0.4752 0.0435 0.0000 3.0000 0.0000
50 59 25 0.5842 0.2292 0.5625 2.3600 0.5625
60 60 25 0.5941 0.0169 0.0000 2.4000 0.0000
70 66 25 0.6535 0.1000 0.0000 2.6400 0.0000
80 71 26 0.7030 0.0758 0.0400 2.7308 0.0400
90 72 26 0.7129 0.0141 0.0000 2.7692 0.0000
100 75 24 0.7426 0.0417 -0.0769 3.1250 -0.0769
110 80 24 0.7921 0.0667 0.0000 3.3333 0.0000
120 83 25 0.8218 0.0375 0.0417 3.3200 0.0417
130 83 24 0.8218 0.0000 -0.0400 3.4583 -0.0400
140 83 24 0.8218 0.0000 0.0000 3.4583 0.0000
150 84 21 0.8317 0.0120 -0.1250 4.0000 -0.1250
