Distancia Tumbas Grupos Proporcion_Tumb Aumento_Tumb Aumento_Grup Tumb_por_Grup Aumento_Tumb_por_Grup
0 23 7 0.3770 0.0000 0.0000 3.2857 0.0000
10 29 9 0.4754 0.2609 0.2857 3.2222 -0.0193
20 41 12 0.6721 0.4138 0.3333 3.4167 0.0603
30 47 10 0.7705 0.1463 -0.1667 4.7000 0.3756
40 52 11 0.8525 0.1064 0.1000 4.7273 0.0058
50 53 11 0.8689 0.0192 0.0000 4.8182 0.0192
60 54 11 0.8852 0.0189 0.0000 4.9091 0.0189
70 57 9 0.9344 0.0556 -0.1818 6.3333 0.2901
80 58 8 0.9508 0.0175 -0.1111 7.2500 0.1447
90 58 8 0.9508 0.0000 0.0000 7.2500 0.0000
100 58 8 0.9508 0.0000 0.0000 7.2500 0.0000
110 58 6 0.9508 0.0000 -0.2500 9.6667 0.3333
120 58 4 0.9508 0.0000 -0.3333 14.5000 0.5000
130 58 4 0.9508 0.0000 0.0000 14.5000 0.0000
140 59 4 0.9672 0.0172 0.0000 14.7500 0.0172
150 60 3 0.9836 0.0169 -0.2500 20.0000 0.3559
160 60 3 0.9836 0.0000 0.0000 20.0000 0.0000
170 60 3 0.9836 0.0000 0.0000 20.0000 0.0000
180 60 3 0.9836 0.0000 0.0000 20.0000 0.0000
190 60 3 0.9836 0.0000 0.0000 20.0000 0.0000
200 60 3 0.9836 0.0000 0.0000 20.0000 0.0000
210 60 3 0.9836 0.0000 0.0000 20.0000 0.0000
220 60 3 0.9836 0.0000 0.0000 20.0000 0.0000
230 60 3 0.9836 0.0000 0.0000 20.0000 0.0000
240 60 3 0.9836 0.0000 0.0000 20.0000 0.0000
250 60 3 0.9836 0.0000 0.0000 20.0000 0.0000
260 60 2 0.9836 0.0000 -0.3333 30.0000 0.5000
270 60 2 0.9836 0.0000 0.0000 30.0000 0.0000
280 60 2 0.9836 0.0000 0.0000 30.0000 0.0000
290 60 2 0.9836 0.0000 0.0000 30.0000 0.0000
300 60 2 0.9836 0.0000 0.0000 30.0000 0.0000
310 60 2 0.9836 0.0000 0.0000 30.0000 0.0000
320 60 2 0.9836 0.0000 0.0000 30.0000 0.0000
330 61 2 1.0000 0.0167 0.0000 30.5000 0.0167
340 61 2 1.0000 0.0000 0.0000 30.5000 0.0000
350 61 2 1.0000 0.0000 0.0000 30.5000 0.0000
360 61 2 1.0000 0.0000 0.0000 30.5000 0.0000
370 61 2 1.0000 0.0000 0.0000 30.5000 0.0000
380 61 2 1.0000 0.0000 0.0000 30.5000 0.0000
390 61 2 1.0000 0.0000 0.0000 30.5000 0.0000
400 61 2 1.0000 0.0000 0.0000 30.5000 0.0000
410 61 2 1.0000 0.0000 0.0000 30.5000 0.0000
420 61 2 1.0000 0.0000 0.0000 30.5000 0.0000
430 61 2 1.0000 0.0000 0.0000 30.5000 0.0000
440 61 2 1.0000 0.0000 0.0000 30.5000 0.0000
450 61 1 1.0000 0.0000 -0.5000 61.0000 1.0000
