ID X Y Tipo Grupo Sobre Tumbas Ceramicas Venado
1 95188.33304 86953.69696 Laja 1 1 0 2 0
2 95188.87821 86951.60694 Monton_de_rocas 1 3 5 0 1
3 95187.51282 86950.25717 Monton_de_rocas 1 1 0 2 0
4 95199.1847 86944.87748 Monton_de_rocas 1 3 8 0 0
5 95197.87336 86943.20132 Laja 1 1 0 0 0
6 95197.24968 86941.68286 Laja 1 1 2 2 0
7 95201.58503 86943.4394 Laja 1 2 8 3 0
8 95202.66614 86939.931 Monton_de_rocas 1 1 0 3 0
9 95207.05739 86935.04175 Monton_de_rocas 2 1 0 0 0
10 95206.49096 86934.07946 Huellas_de_poste 2 1 0 0 0
11 95209.44016 86933.89751 Monton_de_rocas 2 1 0 4 0
12 95210.01162 86931.01978 Monton_de_rocas 2 1 2 2 3
13 95209.33791 86930.44609 Monton_de_rocas 2 1 2 0 10
14 95208.80426 86932.70215 Monton_de_ceramica 2 1 0 0 0
15 95203.65775 86944.52169 Asan 1 1 0 0 0
16 95214.66917 86931.24711 Laja 2 1 0 0 0
17 95215.31876 86927.36044 Laja 2 1 0 0 0
18 95219.4368 86928.02246 Laja 2 1 0 0 0
19 95218.33057 86927.06835 Laja 2 1 0 0 0
20 95219.10402 86926.97494 Asan 2 1 3 0 0
21 95197.87663 86941.97644 Monton_de_rocas 1 2 1 1 2
22 95187.90344 86952.57417 Monton_de_rocas 1 1 1 1 0
