Super_lote X Y Cerámica Oseo Lítico
1 995134.3029 986603.4362 10 0 0
2 995198.0108 986769.614 78 52 0
3 995186.1196 986911.4598 120 4 0
4 995262.4134 986850.2673 160 29 0
5 995356.9058 986772.3861 65 0 2
6 995342.2155 986934.3963 34 0 0
7 995247.0224 986996.2851 106 4 2
8 995198.731 987113.1012 48 0 0
9 995307.9249 987076.2431 12 0 0
10 995394.7179 987007.4017 23 0 0
11 995480.8225 987145.765 2 0 0
12 995392.6291 987204.1765 0 0 0
13 995294.6361 987261.198 0 0 0
14 995488.4988 986723.7063 87 0 1
15 995530.5019 986802.9704 26 5 1
16 995471.0083 986884.3261 9 0 0
F1 995545.6123 987250.7183 0 0 0
F2 995519.0033 986990.4729 0 0 0
F3 995573.5594 986717.8133 0 0 0
F4 995319.4502 986718.3227 0 0 0
F5 995186.464 986583.335 0 0 0
F6 995045.6394 986614.0887 0 0 0
F7 995104.5923 986819.475 0 0 0
F8 995134.8586 987069.9671 0 0 0
F9 995261.8103 987425.3379 0 0 0
F10 995367.2876 987359.1135 0 0 0
